customer_id,customer_name,email,registration_date,customer_type
CUST_0001,Natasha Perez,randrews@example.com,2025-05-04,REGULAR
CUST_0002,Gregory Wilson,john60@example.org,2025-05-19,REGULAR
CUST_0003,Kevin Doyle,anthony05@example.com,2025-12-12,VIP
CUST_0004,Kenneth Payne,lisamiller@example.com,2026-01-22,VIP
CUST_0005,Jacob James,ppierce@example.net,2025-06-15,REGULAR
CUST_0006,Benjamin Friedman,thomas50@example.net,2026-05-11,REGULAR
CUST_0007,Alexis Lee,shannonmarshall@example.com,2025-04-18,REGULAR
CUST_0008,Matthew Wood,christophersmith@example.net,2025-06-04,VIP
CUST_0009,Christian Hanson,timothyjohnson@example.com,2026-03-04,REGULAR
CUST_0010,Rhonda Aguilar,csmith@example.net,2025-08-02,VIP
CUST_0011,Jill Kramer,camposdean@example.com,2025-02-21,REGULAR
CUST_0012,Michelle James,laurie02@example.com,2025-03-09,PREMIUM
CUST_0013,Ashley Vance,collinsmary@example.org,2024-12-09,REGULAR
CUST_0014,Dr. Jessica Hughes,michellevance@example.org,2024-10-13,REGULAR
CUST_0015,Cynthia Tyler,craigfernandez@example.net,2025-08-21,PREMIUM
CUST_0016,Theresa Gaines,victoriamoore@example.net,2025-12-07,REGULAR
CUST_0017,April Weeks,josephrichards@example.net,2025-10-12,PREMIUM
CUST_0018,Maria Johnson,sjackson@example.com,2025-11-18,PREMIUM
CUST_0019,Anthony Peterson,tburns@example.com,2026-07-08,PREMIUM
CUST_0020,Theresa Valencia,nmorrison@example.net,2024-10-15,REGULAR
CUST_0021,Megan Meza,arnoldbrandy@example.com,2026-05-02,VIP
CUST_0022,Kayla Hicks,caseystanley@example.com,2025-08-24,PREMIUM
CUST_0023,Travis Holmes,hernandezchristopher@example.org,2026-02-07,PREMIUM
CUST_0024,Melanie Summers,hobbstanya@example.org,2025-06-22,VIP
CUST_0025,Amy Thompson,hmccoy@example.com,2025-10-17,PREMIUM
CUST_0026,Shelby Morrison,vanessaedwards@example.org,2025-05-24,VIP
CUST_0027,David Pratt,jessica14@example.net,2026-02-05,VIP
CUST_0028,Chad Smith,newtonkathleen@example.net,2025-12-10,PREMIUM
CUST_0029,Christian Mcgee III,jenniferpierce@example.com,2025-06-01,REGULAR
CUST_0030,Tammy Thompson,anthonysmith@example.org,2025-02-14,PREMIUM
CUST_0031,James Chambers,millerstephanie@example.net,2024-11-25,VIP
CUST_0032,Adrian Wood,warrencameron@example.com,2025-09-26,REGULAR
CUST_0033,Brian Wilson,xblackburn@example.org,2026-06-28,REGULAR
CUST_0034,Lisa Martinez,michelle32@example.com,2025-12-11,VIP
CUST_0035,Robert Miller,rowenicole@example.org,2025-11-02,VIP
CUST_0036,Tammy Rose,jmarshall@example.net,2026-05-08,VIP
CUST_0037,David Lewis,obrown@example.org,2024-12-16,VIP
CUST_0038,Thomas Williams,nmyers@example.net,2026-02-26,PREMIUM
CUST_0039,Rachael Duncan,michaelhammond@example.org,2026-06-23,VIP
CUST_0040,Rickey Hart,kingkeith@example.net,2026-04-18,REGULAR
CUST_0041,Blake Cordova,david62@example.com,2025-01-22,REGULAR
CUST_0042,Karina Burns,colton72@example.org,2026-04-09,REGULAR
CUST_0043,Alan Howard,glenda97@example.com,2025-10-24,PREMIUM
CUST_0044,Sarah Dawson,patricia49@example.net,2025-06-20,REGULAR
CUST_0045,Douglas Porter,jamesmann@example.net,2025-03-05,VIP
CUST_0046,Scott Monroe,olsonjoshua@example.net,2024-11-10,PREMIUM
CUST_0047,Hannah Fox,kathleen55@example.com,2026-06-15,PREMIUM
CUST_0048,Brandy Smith,icain@example.org,2025-08-22,VIP
CUST_0049,Dorothy Rodriguez,christina08@example.net,2024-11-19,PREMIUM
CUST_0050,Shirley Bass,kcurry@example.com,2024-08-20,VIP
CUST_0051,Kimberly Matthews,bradleyharvey@example.com,2024-11-23,PREMIUM
CUST_0052,Clarence Erickson,brandondavis@example.org,2024-11-23,PREMIUM
CUST_0053,Elizabeth Hampton,dennismark@example.com,2026-01-10,PREMIUM
CUST_0054,Justin Taylor,downsjennifer@example.org,2025-10-28,REGULAR
CUST_0055,Steven Foster,lisa75@example.com,2025-09-04,REGULAR
CUST_0056,Caleb Padilla,pattonemily@example.com,2024-10-26,REGULAR
CUST_0057,Ashley Sanchez,edavis@example.com,2026-06-15,REGULAR
